Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,Reporting Year
1000865,110001631440.0,Anadarko,ANADARKO,OK,73005,701 B NE 7TH ST,Caddo,35.0847,-98.23,221112.0,"C,D",Power Plants,446954.524,446495.3,209.5,249.724,,,,,,,,,,287930.464,159024.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001134,110040486364.0,Anaheim Combustion Turbine,Anaheim,CA,92806,3071 E Miraloma Ave,Orange,33.8539,-117.8561,221112.0,D,Power Plants,11409.908,11398.4,5.25,6.258,,,,,,,,,,,11409.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1007246,110071160203.0,Anclote Power Plant,HOLIDAY,FL,34691,1729 BAILLIES BLUFF ROAD,Pasco,28.1844,-82.7887,221112.0,"C,D",Power Plants,1363641.396,1362256.6,631.75,753.046,,,,,,,,,,1173.896,1362467.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001097,110025317173.0,Angus Anson,SIOUX FALLS,SD,57101,7100 EAST RICE ST,Minnehaha,43.6033,-96.6369,221112.0,"C,D",Power Plants,74497.922,74412.3,36.75,48.872,,,,,,,,,,342.9,74155.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1006652,110057108927.0,Antelope Station,ABERNATHY,TX,79311,1454 CR 315,HALE COUNTY,33.866995,-101.866362,221112.0,C,Power Plants,168236.616,168062.9,79.25,94.466,,,,,,,,,,168236.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001055,110071161395.0,Antelope Valley,BEULAH,ND,58523,HWY 200,Mercer,47.3714,-101.8344,221112.0,D,Power Plants,6725540.938,6674837.7,18547.25,32155.988,,,,,,,,,,,6725540.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1005949,110043804390.0,Apache Station,COCHISE,AZ,85606,3525 N US HWY 191,Cochise,32.0619,-109.8931,221112.0,"C,D",Power Plants,1461878.568,1456211.1,2153.75,3513.718,,,,,,,,,,8558.968,1453319.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
1000068,110070081751.0,Apex Generating Station,LAS VEGAS,NV,89165,15555 APEX POWER PARKWAY,Clark,36.4178,-114.9622,221112.0,"C,D",Power Plants,800991.632,800178.4,371.0,442.232,,,,,,,,,,1304.596,799687.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001360,110000467129.0,Arapahoe Combustion Turbine Facility,DENVER,CO,80223,2601 SOUTH PLATTE RIVER ROAD,Denver,39.6692,-105.0018,221112.0,"C,D",Power Plants,102542.82,102438.7,47.5,56.62,,,,,,,,,,132.2,102410.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001399,110017420398.0,Arlington Valley Energy Facility,ARLINGTON,AZ,85322,39027 W ELLIOT ROAD,Maricopa,33.3417,-112.8897,221112.0,"C,D",Power Plants,1156413.264,1155238.9,535.75,638.614,,,,,,,,,,44.4,1156368.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1005709,110025330942.0,"Armstrong Power, LLC",SHELOCTA,PA,15774,2313 STATE ROUTE 156,Armstrong,40.6383,-79.3503,221112.0,D,Power Plants,464169.892,463681.7,218.8,269.392,,,,,,,,,,,464169.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1001609,110071161627.0,Arsenal Hill Power Plant,SHREVEPORT,LA,71101,520 NORTH ALLEN,Caddo,32.5181,-93.7611,221112.0,D,Power Plants,989714.132,988709.1,458.5,546.532,,,,,,,,,,,989714.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,2019
1000759,110000866386.0,Arthur Kill,Staten Island,NY,10314,4401 VICTORY BLVD,Richmond,40.5915,-74.2027,221112.0,"C,D",Power Plants,560341.947,559772.8,259.525,309.622,,,,,,,,,,656.173,559685.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,2019
